伏风,伏寒,伏暑,伏湿,伏燥,伏热,伏瘀,伏毒,方剂
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,
0,0,0,1,0,1,0,0,
0,0,0,0,0,1,0,0,清肺凉血汤
1,0,0,1,0,1,0,0,
1,0,0,0,0,1,0,0,消癜汤
1,0,0,0,0,1,0,0,银翘浮萍散
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,
1,0,0,0,0,1,0,0,龟杞汤
1,0,0,0,0,1,0,0,消风宁络饮
0,0,0,0,0,0,1,0,益气活血化瘀方
0,0,0,0,0,1,0,0,白虎汤
0,0,0,1,0,1,0,0,三黄四物脱敏汤
1,0,0,0,0,1,0,0,
0,0,0,0,0,0,1,0,补中益气汤
0,0,0,1,0,1,0,0,
0,0,0,0,0,1,0,0,消斑活命饮
0,1,0,0,0,0,0,0,平胃散合地黄丸
0,0,0,0,0,0,0,0,香砂六君子汤
0,0,0,0,0,1,0,0,犀角地黄汤
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,1,0,0,青蒿鳖甲汤
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,
1,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,1,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,荆翘化斑汤
0,0,0,0,0,1,0,0,犀角地黄汤
0,0,0,0,0,1,1,0,
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,0,0,0,黄土汤
0,0,0,0,0,1,0,0,化斑汤
0,0,0,0,0,1,0,0,化斑汤
1,0,0,0,0,1,0,0,
1,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,1,
1,0,0,0,0,1,0,0,
1,0,0,0,0,1,0,0,越婢汤合麻黄连翘赤豆汤、四苓散
0,0,0,1,0,1,0,0,三黄四物汤
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,平胃散合归芍地黄丸
0,0,0,0,0,1,0,0,紫癜1号方
0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,1,
1,0,0,0,0,1,0,0,
0,0,0,0,0,1,0,0,犀角地黄汤
0,0,0,1,0,1,0,0,犀角地黄汤加减
0,0,0,1,0,1,0,0,
0,0,0,0,0,1,0,1,周氏解毒凉血汤
1,0,0,0,0,1,0,0,金水宁汤
1,0,0,1,0,1,0,0,
1,0,0,1,0,1,0,0,金蝉脱衣汤
0,0,0,0,0,1,1,0,
0,0,0,0,0,1,0,0,
0,0,0,1,0,1,0,0,犀角地黄汤合五苓散
0,0,0,0,0,1,0,1,
0,0,0,1,0,1,1,0,清热健肾胶囊
0,0,0,0,0,0,1,0,补阳还五汤
0,0,0,0,0,1,0,0,
1,0,0,0,0,1,0,0,
0,0,0,1,0,1,0,0,
0,0,0,1,0,1,1,0,
0,0,0,0,0,0,0,0,归脾汤
1,0,0,0,0,1,0,0,犀角地黄汤
0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,1,
1,0,0,0,0,1,0,0,失笑散合芍药甘草汤
1,0,0,0,0,1,0,0,
0,0,0,1,0,1,0,0,
0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,0,
1,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,0,0,0,归脾汤
0,0,0,0,0,1,0,1,解毒化斑汤
0,0,0,0,0,1,0,0,
0,0,0,0,0,1,1,0,
0,0,0,0,0,0,0,0,大青散
0,0,0,0,0,0,0,0,人参化斑汤
0,0,0,0,0,0,0,0,阴毒升麻汤
0,0,0,0,0,0,0,0,消斑青黛饮
0,0,0,0,0,0,0,0,胃脾汤
0,0,0,0,0,0,0,0,青紫黄龙汤
0,0,0,0,0,0,0,0,白茅根汤
0,0,0,0,0,0,0,0,犀角地黄汤
0,0,0,0,0,0,0,0,银翘散
0,0,0,0,0,0,0,0,十四味建中汤
0,0,0,0,0,0,0,0,凉血五根汤
0,0,0,0,0,0,0,0,紫癜验方
0,0,0,0,0,0,0,0,紫癜验方
0,0,0,0,0,0,0,0,化瘀苍术散
1,0,0,0,0,1,0,0,银翘散
1,0,0,1,0,1,0,0,
